Date,Team,Opponent,ERA,Player,Year
Mar 30,KC,vs CLE,2.25,Michael Wacha,2025
Apr 5,KC,vs BAL,4.66,Michael Wacha,2025
Apr 10,KC,vs MIN,4.20,Michael Wacha,2025
Apr 15,KC,@ NYY,4.35,Michael Wacha,2025
Apr 20,KC,@ DET,4.15,Michael Wacha,2025
Apr 26,KC,vs HOU,3.38,Michael Wacha,2025
May 2,KC,@ BAL,3.52,Michael Wacha,2025
Mar 30,KC,vs CLE,2.25,Michael Wacha,2025
Apr 5,KC,vs BAL,4.66,Michael Wacha,2025
Apr 10,KC,vs MIN,4.20,Michael Wacha,2025
Apr 15,KC,@ NYY,4.35,Michael Wacha,2025
Apr 20,KC,@ DET,4.15,Michael Wacha,2025
Apr 26,KC,vs HOU,3.38,Michael Wacha,2025
May 2,KC,@ BAL,3.52,Michael Wacha,2025
Mar 29,TEX,vs BOS,5.40,Tyler Mahle,2025
Apr 4,TEX,vs TB,1.35,Tyler Mahle,2025
Apr 9,TEX,@ CHC,1.32,Tyler Mahle,2025
Apr 15,TEX,vs LAA,0.92,Tyler Mahle,2025
Apr 20,TEX,vs LAD,0.68,Tyler Mahle,2025
Apr 26,TEX,@ SF,1.14,Tyler Mahle,2025
May 1,TEX,vs ATH,1.19,Tyler Mahle,2025
Mar 29,TEX,vs BOS,5.40,Tyler Mahle,2025
Apr 4,TEX,vs TB,1.35,Tyler Mahle,2025
Apr 9,TEX,@ CHC,1.32,Tyler Mahle,2025
Apr 15,TEX,vs LAA,0.92,Tyler Mahle,2025
Apr 20,TEX,vs LAD,0.68,Tyler Mahle,2025
Apr 26,TEX,@ SF,1.14,Tyler Mahle,2025
May 1,TEX,vs ATH,1.19,Tyler Mahle,2025
Mar 29,TB,vs COL,1.50,Zack Littell,2025
Apr 4,TB,@ TEX,4.15,Zack Littell,2025
Apr 10,TB,vs LAA,6.88,Zack Littell,2025
Apr 16,TB,vs BOS,5.48,Zack Littell,2025
Apr 22,TB,@ AZ,5.28,Zack Littell,2025
Apr 27,TB,@ SD,5.03,Zack Littell,2025
May 3,TB,@ NYY,4.61,Zack Littell,2025
Mar 29,TB,vs COL,1.50,Zack Littell,2025
Apr 4,TB,@ TEX,4.15,Zack Littell,2025
Apr 10,TB,vs LAA,6.88,Zack Littell,2025
Apr 16,TB,vs BOS,5.48,Zack Littell,2025
Apr 22,TB,@ AZ,5.28,Zack Littell,2025
Apr 27,TB,@ SD,5.03,Zack Littell,2025
May 3,TB,@ NYY,4.61,Zack Littell,2025
Mar 30,TB,vs COL,3.00,Taj Bradley,2025
Apr 5,TB,@ TEX,4.91,Taj Bradley,2025
Apr 11,TB,vs ATL,3.71,Taj Bradley,2025
Apr 17,TB,vs NYY,5.24,Taj Bradley,2025
Apr 23,TB,@ AZ,5.08,Taj Bradley,2025
Apr 29,TB,vs KC,4.58,Taj Bradley,2025
May 4,TB,@ NYY,4.43,Taj Bradley,2025
Mar 30,TB,vs COL,3.00,Taj Bradley,2025
Apr 5,TB,@ TEX,4.91,Taj Bradley,2025
Apr 11,TB,vs ATL,3.71,Taj Bradley,2025
Apr 17,TB,vs NYY,5.24,Taj Bradley,2025
Apr 23,TB,@ AZ,5.08,Taj Bradley,2025
Apr 29,TB,vs KC,4.58,Taj Bradley,2025
May 4,TB,@ NYY,4.43,Taj Bradley,2025
Mar 31,KC,@ MIL,0.00,Kris Bubic,2025
Apr 6,KC,vs BAL,0.00,Kris Bubic,2025
Apr 11,KC,@ CLE,0.96,Kris Bubic,2025
Apr 16,KC,@ NYY,1.88,Kris Bubic,2025
Apr 22,KC,vs COL,1.45,Kris Bubic,2025
Apr 27,KC,vs HOU,2.25,Kris Bubic,2025
May 3,KC,@ BAL,1.98,Kris Bubic,2025
Mar 31,KC,@ MIL,0.00,Kris Bubic,2025
Apr 6,KC,vs BAL,0.00,Kris Bubic,2025
Apr 11,KC,@ CLE,0.96,Kris Bubic,2025
Apr 16,KC,@ NYY,1.88,Kris Bubic,2025
Apr 22,KC,vs COL,1.45,Kris Bubic,2025
Apr 27,KC,vs HOU,2.25,Kris Bubic,2025
May 3,KC,@ BAL,1.98,Kris Bubic,2025
Apr 1,TB,vs PIT,0.00,Shane Baz,2025
Apr 8,TB,vs LAA,1.38,Shane Baz,2025
Apr 14,TB,vs BOS,1.42,Shane Baz,2025
Apr 19,TB,vs NYY,3.22,Shane Baz,2025
Apr 25,TB,@ SD,2.45,Shane Baz,2025
May 1,TB,vs KC,3.86,Shane Baz,2025
Apr 1,TB,vs PIT,0.00,Shane Baz,2025
Apr 8,TB,vs LAA,1.38,Shane Baz,2025
Apr 14,TB,vs BOS,1.42,Shane Baz,2025
Apr 19,TB,vs NYY,3.22,Shane Baz,2025
Apr 25,TB,@ SD,2.45,Shane Baz,2025
May 1,TB,vs KC,3.86,Shane Baz,2025
Apr 8,TEX,@ CHC,6.75,Patrick Corbin,2025
Apr 16,TEX,vs LAA,3.86,Patrick Corbin,2025
Apr 22,TEX,@ ATH,3.77,Patrick Corbin,2025
Apr 28,TEX,vs ATH,3.79,Patrick Corbin,2025
May 3,TEX,vs SEA,3.28,Patrick Corbin,2025
Apr 8,TEX,@ CHC,6.75,Patrick Corbin,2025
Apr 16,TEX,vs LAA,3.86,Patrick Corbin,2025
Apr 22,TEX,@ ATH,3.77,Patrick Corbin,2025
Apr 28,TEX,vs ATH,3.79,Patrick Corbin,2025
May 3,TEX,vs SEA,3.28,Patrick Corbin,2025
Apr 10,MIL,@ COL,1.80,Quinn Priester,2025
Apr 15,MIL,vs DET,0.90,Quinn Priester,2025
Apr 21,MIL,@ SF,1.93,Quinn Priester,2025
Apr 26,MIL,@ STL,3.79,Quinn Priester,2025
May 2,MIL,vs CHC,5.79,Quinn Priester,2025
Apr 10,MIL,@ COL,1.80,Quinn Priester,2025
Apr 15,MIL,vs DET,0.90,Quinn Priester,2025
Apr 21,MIL,@ SF,1.93,Quinn Priester,2025
Apr 26,MIL,@ STL,3.79,Quinn Priester,2025
May 2,MIL,vs CHC,5.79,Quinn Priester,2025
Mar 27,TOR,vs BAL,27.00,Yariel Rodriguez,2025
Mar 30,TOR,vs BAL,13.50,Yariel Rodriguez,2025
Apr 1,TOR,vs WSH,12.00,Yariel Rodriguez,2025
Apr 4,TOR,@ NYM,9.00,Yariel Rodriguez,2025
Apr 8,TOR,@ BOS,9.64,Yariel Rodriguez,2025
Apr 12,TOR,@ BAL,8.44,Yariel Rodriguez,2025
Apr 14,TOR,vs ATL,6.14,Yariel Rodriguez,2025
Apr 19,TOR,vs SEA,4.82,Yariel Rodriguez,2025
Apr 22,TOR,@ HOU,5.23,Yariel Rodriguez,2025
Apr 27,TOR,@ NYY,4.63,Yariel Rodriguez,2025
Apr 30,TOR,vs BOS,5.68,Yariel Rodriguez,2025
May 3,TOR,vs CLE,5.54,Yariel Rodriguez,2025
May 4,TOR,vs CLE,5.65,Yariel Rodriguez,2025
Mar 27,TOR,vs BAL,27.00,Yariel Rodriguez,2025
Mar 30,TOR,vs BAL,13.50,Yariel Rodriguez,2025
Apr 1,TOR,vs WSH,12.00,Yariel Rodriguez,2025
Apr 4,TOR,@ NYM,9.00,Yariel Rodriguez,2025
Apr 8,TOR,@ BOS,9.64,Yariel Rodriguez,2025
Apr 12,TOR,@ BAL,8.44,Yariel Rodriguez,2025
Apr 14,TOR,vs ATL,6.14,Yariel Rodriguez,2025
Apr 19,TOR,vs SEA,4.82,Yariel Rodriguez,2025
Apr 22,TOR,@ HOU,5.23,Yariel Rodriguez,2025
Apr 27,TOR,@ NYY,4.63,Yariel Rodriguez,2025
Apr 30,TOR,vs BOS,5.68,Yariel Rodriguez,2025
May 3,TOR,vs CLE,5.54,Yariel Rodriguez,2025
May 4,TOR,vs CLE,5.65,Yariel Rodriguez,2025
Mar 31,CWS,vs MIN,0.00,Martin Perez,2025
Apr 6,CWS,@ DET,0.73,Martin Perez,2025
Apr 12,CWS,vs BOS,1.59,Martin Perez,2025
Apr 18,CWS,@ BOS,3.15,Martin Perez,2025
Mar 31,CWS,vs MIN,0.00,Martin Perez,2025
Apr 6,CWS,@ DET,0.73,Martin Perez,2025
Apr 12,CWS,vs BOS,1.59,Martin Perez,2025
Apr 18,CWS,@ BOS,3.15,Martin Perez,2025
Mar 30,COL,@ TB,3.60,Ryan Feltner,2025
Apr 4,COL,vs ATH,3.60,Ryan Feltner,2025
Apr 10,COL,vs MIL,2.81,Ryan Feltner,2025
Apr 15,COL,@ LAD,4.82,Ryan Feltner,2025
Apr 22,COL,@ KC,3.86,Ryan Feltner,2025
Apr 28,COL,vs ATL,4.75,Ryan Feltner,2025
Mar 30,COL,@ TB,3.60,Ryan Feltner,2025
Apr 4,COL,vs ATH,3.60,Ryan Feltner,2025
Apr 10,COL,vs MIL,2.81,Ryan Feltner,2025
Apr 15,COL,@ LAD,4.82,Ryan Feltner,2025
Apr 22,COL,@ KC,3.86,Ryan Feltner,2025
Apr 28,COL,vs ATL,4.75,Ryan Feltner,2025
Mar 29,SD,vs ATL,0.00,Randy Vasquez,2025
Apr 4,SD,@ CHC,1.69,Randy Vasquez,2025
Apr 9,SD,@ ATH,1.72,Randy Vasquez,2025
Apr 15,SD,vs CHC,1.74,Randy Vasquez,2025
Apr 21,SD,@ DET,3.97,Randy Vasquez,2025
Apr 27,SD,vs TB,4.28,Randy Vasquez,2025
May 3,SD,@ PIT,3.90,Randy Vasquez,2025
Mar 29,SD,vs ATL,0.00,Randy Vasquez,2025
Apr 4,SD,@ CHC,1.69,Randy Vasquez,2025
Apr 9,SD,@ ATH,1.72,Randy Vasquez,2025
Apr 15,SD,vs CHC,1.74,Randy Vasquez,2025
Apr 21,SD,@ DET,3.97,Randy Vasquez,2025
Apr 27,SD,vs TB,4.28,Randy Vasquez,2025
May 3,SD,@ PIT,3.90,Randy Vasquez,2025
Mar 31,PHI,vs COL,1.69,Cristopher Sanchez,2025
Apr 6,PHI,vs LAD,4.09,Cristopher Sanchez,2025
Apr 12,PHI,@ STL,3.12,Cristopher Sanchez,2025
Apr 17,PHI,vs SF,2.96,Cristopher Sanchez,2025
Apr 22,PHI,@ NYM,3.42,Cristopher Sanchez,2025
Apr 30,PHI,vs WSH,3.45,Cristopher Sanchez,2025
Mar 31,PHI,vs COL,1.69,Cristopher Sanchez,2025
Apr 6,PHI,vs LAD,4.09,Cristopher Sanchez,2025
Apr 12,PHI,@ STL,3.12,Cristopher Sanchez,2025
Apr 17,PHI,vs SF,2.96,Cristopher Sanchez,2025
Apr 22,PHI,@ NYM,3.42,Cristopher Sanchez,2025
Apr 30,PHI,vs WSH,3.45,Cristopher Sanchez,2025
Mar 29,LAA,@ CWS,0.00,Jose Soriano,2025
Apr 4,LAA,vs CLE,3.65,Jose Soriano,2025
Apr 10,LAA,@ TB,2.70,Jose Soriano,2025
Apr 16,LAA,@ TEX,3.16,Jose Soriano,2025
Apr 22,LAA,vs PIT,4.34,Jose Soriano,2025
Apr 27,LAA,@ MIN,4.50,Jose Soriano,2025
May 2,LAA,vs DET,3.83,Jose Soriano,2025
Mar 29,LAA,@ CWS,0.00,Jose Soriano,2025
Apr 4,LAA,vs CLE,3.65,Jose Soriano,2025
Apr 10,LAA,@ TB,2.70,Jose Soriano,2025
Apr 16,LAA,@ TEX,3.16,Jose Soriano,2025
Apr 22,LAA,vs PIT,4.34,Jose Soriano,2025
Apr 27,LAA,@ MIN,4.50,Jose Soriano,2025
May 2,LAA,vs DET,3.83,Jose Soriano,2025
Mar 27,SD,vs ATL,10.13,Michael King,2025
Apr 1,SD,vs CLE,3.52,Michael King,2025
Apr 7,SD,@ ATH,4.05,Michael King,2025
Apr 13,SD,vs COL,2.42,Michael King,2025
Apr 19,SD,@ HOU,2.57,Michael King,2025
Apr 25,SD,vs TB,2.18,Michael King,2025
Apr 30,SD,vs SF,2.09,Michael King,2025
Mar 27,SD,vs ATL,10.13,Michael King,2025
Apr 1,SD,vs CLE,3.52,Michael King,2025
Apr 7,SD,@ ATH,4.05,Michael King,2025
Apr 13,SD,vs COL,2.42,Michael King,2025
Apr 19,SD,@ HOU,2.57,Michael King,2025
Apr 25,SD,vs TB,2.18,Michael King,2025
Apr 30,SD,vs SF,2.09,Michael King,2025
Mar 31,LAD,vs ATL,0.00,Tyler Glasnow,2025
Apr 6,LAD,@ PHI,6.43,Tyler Glasnow,2025
Apr 13,LAD,vs CHC,4.85,Tyler Glasnow,2025
Apr 20,LAD,@ TEX,3.71,Tyler Glasnow,2025
Apr 27,LAD,vs PIT,4.50,Tyler Glasnow,2025
Mar 31,LAD,vs ATL,0.00,Tyler Glasnow,2025
Apr 6,LAD,@ PHI,6.43,Tyler Glasnow,2025
Apr 13,LAD,vs CHC,4.85,Tyler Glasnow,2025
Apr 20,LAD,@ TEX,3.71,Tyler Glasnow,2025
Apr 27,LAD,vs PIT,4.50,Tyler Glasnow,2025
Mar 31,TB,vs PIT,0.00,Drew Rasmussen,2025
Apr 6,TB,@ TEX,0.90,Drew Rasmussen,2025
Apr 12,TB,vs ATL,0.60,Drew Rasmussen,2025
Apr 18,TB,vs NYY,0.87,Drew Rasmussen,2025
Apr 24,TB,@ AZ,2.10,Drew Rasmussen,2025
Apr 30,TB,vs KC,2.64,Drew Rasmussen,2025
Mar 31,TB,vs PIT,0.00,Drew Rasmussen,2025
Apr 6,TB,@ TEX,0.90,Drew Rasmussen,2025
Apr 12,TB,vs ATL,0.60,Drew Rasmussen,2025
Apr 18,TB,vs NYY,0.87,Drew Rasmussen,2025
Apr 24,TB,@ AZ,2.10,Drew Rasmussen,2025
Apr 30,TB,vs KC,2.64,Drew Rasmussen,2025
Mar 18,CHC,vs LAD,0.00,Shota Imanaga,2025
Mar 29,CHC,@ AZ,0.82,Shota Imanaga,2025
Apr 4,CHC,vs SD,0.98,Shota Imanaga,2025
Apr 9,CHC,vs TEX,2.70,Shota Imanaga,2025
Apr 15,CHC,@ SD,2.22,Shota Imanaga,2025
Apr 22,CHC,vs LAD,3.18,Shota Imanaga,2025
Apr 29,CHC,@ PIT,2.77,Shota Imanaga,2025
May 4,CHC,@ MIL,2.82,Shota Imanaga,2025
Mar 18,CHC,vs LAD,0.00,Shota Imanaga,2025
Mar 29,CHC,@ AZ,0.82,Shota Imanaga,2025
Apr 4,CHC,vs SD,0.98,Shota Imanaga,2025
Apr 9,CHC,vs TEX,2.70,Shota Imanaga,2025
Apr 15,CHC,@ SD,2.22,Shota Imanaga,2025
Apr 22,CHC,vs LAD,3.18,Shota Imanaga,2025
Apr 29,CHC,@ PIT,2.77,Shota Imanaga,2025
May 4,CHC,@ MIL,2.82,Shota Imanaga,2025
Apr 2,SF,@ HOU,6.75,Landen Roupp,2025
Apr 8,SF,vs CIN,3.60,Landen Roupp,2025
Apr 14,SF,@ PHI,4.80,Landen Roupp,2025
Apr 19,SF,@ LAA,4.09,Landen Roupp,2025
Apr 24,SF,vs MIL,4.56,Landen Roupp,2025
Apr 30,SF,@ SD,5.10,Landen Roupp,2025
Apr 2,SF,@ HOU,6.75,Landen Roupp,2025
Apr 8,SF,vs CIN,3.60,Landen Roupp,2025
Apr 14,SF,@ PHI,4.80,Landen Roupp,2025
Apr 19,SF,@ LAA,4.09,Landen Roupp,2025
Apr 24,SF,vs MIL,4.56,Landen Roupp,2025
Apr 30,SF,@ SD,5.10,Landen Roupp,2025
Mar 27,MIL,@ NYY,0.00,Tyler Alexander,2025
Mar 30,MIL,@ NYY,5.40,Tyler Alexander,2025
Apr 4,MIL,vs CIN,2.00,Tyler Alexander,2025
Apr 9,MIL,@ COL,2.84,Tyler Alexander,2025
Apr 14,MIL,vs DET,4.32,Tyler Alexander,2025
Apr 20,MIL,vs ATH,3.66,Tyler Alexander,2025
Apr 24,MIL,@ SF,4.50,Tyler Alexander,2025
Apr 25,MIL,@ STL,4.71,Tyler Alexander,2025
Apr 30,MIL,@ CWS,4.56,Tyler Alexander,2025
May 2,MIL,vs CHC,5.18,Tyler Alexander,2025
Mar 27,MIL,@ NYY,0.00,Tyler Alexander,2025
Mar 30,MIL,@ NYY,5.40,Tyler Alexander,2025
Apr 4,MIL,vs CIN,2.00,Tyler Alexander,2025
Apr 9,MIL,@ COL,2.84,Tyler Alexander,2025
Apr 14,MIL,vs DET,4.32,Tyler Alexander,2025
Apr 20,MIL,vs ATH,3.66,Tyler Alexander,2025
Apr 24,MIL,@ SF,4.50,Tyler Alexander,2025
Apr 25,MIL,@ STL,4.71,Tyler Alexander,2025
Apr 30,MIL,@ CWS,4.56,Tyler Alexander,2025
May 2,MIL,vs CHC,5.18,Tyler Alexander,2025
Mar 30,SF,@ CIN,5.06,Robbie Ray,2025
Apr 5,SF,vs SEA,3.18,Robbie Ray,2025
Apr 11,SF,@ NYY,2.93,Robbie Ray,2025
Apr 16,SF,@ PHI,4.19,Robbie Ray,2025
Apr 21,SF,vs MIL,4.07,Robbie Ray,2025
Apr 26,SF,vs TEX,3.73,Robbie Ray,2025
May 2,SF,vs COL,3.05,Robbie Ray,2025
Mar 30,SF,@ CIN,5.06,Robbie Ray,2025
Apr 5,SF,vs SEA,3.18,Robbie Ray,2025
Apr 11,SF,@ NYY,2.93,Robbie Ray,2025
Apr 16,SF,@ PHI,4.19,Robbie Ray,2025
Apr 21,SF,vs MIL,4.07,Robbie Ray,2025
Apr 26,SF,vs TEX,3.73,Robbie Ray,2025
May 2,SF,vs COL,3.05,Robbie Ray,2025
Mar 27,MIA,vs PIT,3.86,Sandy Alcantara,2025
Apr 1,MIA,vs NYM,3.72,Sandy Alcantara,2025
Apr 12,MIA,vs WSH,4.70,Sandy Alcantara,2025
Apr 18,MIA,@ PHI,7.27,Sandy Alcantara,2025
Apr 23,MIA,vs CIN,6.56,Sandy Alcantara,2025
Apr 29,MIA,@ LAD,8.31,Sandy Alcantara,2025
Mar 27,MIA,vs PIT,3.86,Sandy Alcantara,2025
Apr 1,MIA,vs NYM,3.72,Sandy Alcantara,2025
Apr 12,MIA,vs WSH,4.70,Sandy Alcantara,2025
Apr 18,MIA,@ PHI,7.27,Sandy Alcantara,2025
Apr 23,MIA,vs CIN,6.56,Sandy Alcantara,2025
Apr 29,MIA,@ LAD,8.31,Sandy Alcantara,2025
Mar 29,ATL,@ SD,0.00,Spencer Schwellenbach,2025
Apr 4,ATL,vs MIA,0.00,Spencer Schwellenbach,2025
